,times,rainmean,rain,baseflow,area,dis,dis1
0,2001-07-10 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46
1,2001-07-10 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
2,2001-07-10 08:00:00,0.0,0.0,8.57,196.86,9.46,9.46
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27
1,2001-07-10 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
2,2001-07-10 08:00:00,0.0,0.0,8.57,196.86,9.46,9.46
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27
30,2001-07-11 12:00:00,0.0,0.0,8.57,196.86,8.27,7.97
2,2001-07-10 08:00:00,0.0,0.0,8.57,196.86,9.46,9.46
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27
30,2001-07-11 12:00:00,0.0,0.0,8.57,196.86,8.27,7.97
31,2001-07-11 13:00:00,0.03,0.03,8.57,196.86,7.97,7.97
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27
30,2001-07-11 12:00:00,0.0,0.0,8.57,196.86,8.27,7.97
31,2001-07-11 13:00:00,0.03,0.03,8.57,196.86,7.97,7.97
32,2001-07-11 14:00:00,0.14,0.14,8.57,196.86,7.97,7.97
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27
30,2001-07-11 12:00:00,0.0,0.0,8.57,196.86,8.27,7.97
31,2001-07-11 13:00:00,0.03,0.03,8.57,196.86,7.97,7.97
32,2001-07-11 14:00:00,0.14,0.14,8.57,196.86,7.97,7.97
33,2001-07-11 15:00:00,0.14,0.14,8.57,196.86,7.97,10.1
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46
