Unnamed: 0,times,rainmean,rain,baseflow,area,dis,dis1,new_dis
0,2001-07-10 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
1,2001-07-10 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
2,2001-07-10 08:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16,16.275525754343196
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86,10.78939347759829
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57,5.303261200853382
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27,0.0
1,2001-07-10 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
2,2001-07-10 08:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
11,2001-07-10 17:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
12,2001-07-10 18:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
13,2001-07-10 19:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
14,2001-07-10 20:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
15,2001-07-10 21:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
16,2001-07-10 22:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
17,2001-07-10 23:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
18,2001-07-11 00:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
19,2001-07-11 01:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
20,2001-07-11 02:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
21,2001-07-11 03:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
22,2001-07-11 04:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
23,2001-07-11 05:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
24,2001-07-11 06:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
25,2001-07-11 07:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
26,2001-07-11 08:00:00,0.0,0.0,8.57,196.86,9.46,9.16,16.275525754343196
27,2001-07-11 09:00:00,0.0,0.0,8.57,196.86,9.16,8.86,10.78939347759829
28,2001-07-11 10:00:00,0.0,0.0,8.57,196.86,8.86,8.57,5.303261200853382
29,2001-07-11 11:00:00,0.0,0.0,8.57,196.86,8.57,8.27,0.0
30,2001-07-11 12:00:00,0.0,0.0,8.57,196.86,8.27,7.97,0.0
2,2001-07-10 08:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
3,2001-07-10 09:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
4,2001-07-10 10:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
5,2001-07-10 11:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
6,2001-07-10 12:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
7,2001-07-10 13:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
8,2001-07-10 14:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
9,2001-07-10 15:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
10,2001-07-10 16:00:00,0.0,0.0,8.57,196.86,9.46,9.46,16.275525754343196
