,times,rainmean,rain,baseflow,area,dis,dis1
0,2001-05-15 05:00:00,0.0,0.0,4.63,196.86,4.63,4.63
1,2001-05-15 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63
2,2001-05-15 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63
3,2001-05-15 08:00:00,0.0,0.0,4.63,196.86,4.63,4.63
4,2001-05-15 09:00:00,0.0,0.0,4.63,196.86,4.63,4.63
5,2001-05-15 10:00:00,0.0,0.0,4.63,196.86,4.63,4.63
6,2001-05-15 11:00:00,0.0,0.0,4.63,196.86,4.63,4.63
7,2001-05-15 12:00:00,0.0,0.0,4.63,196.86,4.63,4.63
8,2001-05-15 13:00:00,0.0,0.0,4.63,196.86,4.63,4.63
9,2001-05-15 14:00:00,0.0,0.0,4.63,196.86,4.63,4.63
10,2001-05-15 15:00:00,0.0,0.0,4.63,196.86,4.63,4.63
11,2001-05-15 16:00:00,0.0,0.0,4.63,196.86,4.63,4.63
12,2001-05-15 17:00:00,0.0,0.0,4.63,196.86,4.63,4.63
13,2001-05-15 18:00:00,0.0,0.0,4.63,196.86,4.63,4.63
14,2001-05-15 19:00:00,0.0,0.0,4.63,196.86,4.63,4.63
15,2001-05-15 20:00:00,0.0,0.0,4.63,196.86,4.63,4.63
16,2001-05-15 21:00:00,0.0,0.0,4.63,196.86,4.63,4.63
17,2001-05-15 22:00:00,0.0,0.0,4.63,196.86,4.63,4.63
18,2001-05-15 23:00:00,0.0,0.0,4.63,196.86,4.63,4.63
19,2001-05-16 00:00:00,0.0,0.0,4.63,196.86,4.63,4.63
20,2001-05-16 01:00:00,0.0,0.0,4.63,196.86,4.63,4.63
21,2001-05-16 02:00:00,0.0,0.0,4.63,196.86,4.63,4.63
22,2001-05-16 03:00:00,0.0,0.0,4.63,196.86,4.63,4.63
23,2001-05-16 04:00:00,0.0,0.0,4.63,196.86,4.63,4.63
24,2001-05-16 05:00:00,0.0,0.0,4.63,196.86,4.63,4.63
25,2001-05-16 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63
26,2001-05-16 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63
27,2001-05-16 08:00:00,0.0,0.0,4.63,196.86,4.63,4.74
28,2001-05-16 09:00:00,0.0,0.0,4.63,196.86,4.74,4.85
29,2001-05-16 10:00:00,0.0,0.0,4.63,196.86,4.85,4.81
1,2001-05-15 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63
2,2001-05-15 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63
3,2001-05-15 08:00:00,0.0,0.0,4.63,196.86,4.63,4.63
4,2001-05-15 09:00:00,0.0,0.0,4.63,196.86,4.63,4.63
5,2001-05-15 10:00:00,0.0,0.0,4.63,196.86,4.63,4.63
6,2001-05-15 11:00:00,0.0,0.0,4.63,196.86,4.63,4.63
7,2001-05-15 12:00:00,0.0,0.0,4.63,196.86,4.63,4.63
8,2001-05-15 13:00:00,0.0,0.0,4.63,196.86,4.63,4.63
9,2001-05-15 14:00:00,0.0,0.0,4.63,196.86,4.63,4.63
10,2001-05-15 15:00:00,0.0,0.0,4.63,196.86,4.63,4.63
11,2001-05-15 16:00:00,0.0,0.0,4.63,196.86,4.63,4.63
12,2001-05-15 17:00:00,0.0,0.0,4.63,196.86,4.63,4.63
13,2001-05-15 18:00:00,0.0,0.0,4.63,196.86,4.63,4.63
14,2001-05-15 19:00:00,0.0,0.0,4.63,196.86,4.63,4.63
15,2001-05-15 20:00:00,0.0,0.0,4.63,196.86,4.63,4.63
16,2001-05-15 21:00:00,0.0,0.0,4.63,196.86,4.63,4.63
17,2001-05-15 22:00:00,0.0,0.0,4.63,196.86,4.63,4.63
18,2001-05-15 23:00:00,0.0,0.0,4.63,196.86,4.63,4.63
19,2001-05-16 00:00:00,0.0,0.0,4.63,196.86,4.63,4.63
20,2001-05-16 01:00:00,0.0,0.0,4.63,196.86,4.63,4.63
21,2001-05-16 02:00:00,0.0,0.0,4.63,196.86,4.63,4.63
22,2001-05-16 03:00:00,0.0,0.0,4.63,196.86,4.63,4.63
23,2001-05-16 04:00:00,0.0,0.0,4.63,196.86,4.63,4.63
24,2001-05-16 05:00:00,0.0,0.0,4.63,196.86,4.63,4.63
25,2001-05-16 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63
26,2001-05-16 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63
27,2001-05-16 08:00:00,0.0,0.0,4.63,196.86,4.63,4.74
28,2001-05-16 09:00:00,0.0,0.0,4.63,196.86,4.74,4.85
29,2001-05-16 10:00:00,0.0,0.0,4.63,196.86,4.85,4.81
30,2001-05-16 11:00:00,0.0,0.0,4.63,196.86,4.81,4.78
2,2001-05-15 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63
3,2001-05-15 08:00:00,0.0,0.0,4.63,196.86,4.63,4.63
4,2001-05-15 09:00:00,0.0,0.0,4.63,196.86,4.63,4.63
5,2001-05-15 10:00:00,0.0,0.0,4.63,196.86,4.63,4.63
6,2001-05-15 11:00:00,0.0,0.0,4.63,196.86,4.63,4.63
7,2001-05-15 12:00:00,0.0,0.0,4.63,196.86,4.63,4.63
8,2001-05-15 13:00:00,0.0,0.0,4.63,196.86,4.63,4.63
9,2001-05-15 14:00:00,0.0,0.0,4.63,196.86,4.63,4.63
10,2001-05-15 15:00:00,0.0,0.0,4.63,196.86,4.63,4.63
11,2001-05-15 16:00:00,0.0,0.0,4.63,196.86,4.63,4.63
12,2001-05-15 17:00:00,0.0,0.0,4.63,196.86,4.63,4.63
13,2001-05-15 18:00:00,0.0,0.0,4.63,196.86,4.63,4.63
14,2001-05-15 19:00:00,0.0,0.0,4.63,196.86,4.63,4.63
15,2001-05-15 20:00:00,0.0,0.0,4.63,196.86,4.63,4.63
16,2001-05-15 21:00:00,0.0,0.0,4.63,196.86,4.63,4.63
17,2001-05-15 22:00:00,0.0,0.0,4.63,196.86,4.63,4.63
18,2001-05-15 23:00:00,0.0,0.0,4.63,196.86,4.63,4.63
19,2001-05-16 00:00:00,0.0,0.0,4.63,196.86,4.63,4.63
20,2001-05-16 01:00:00,0.0,0.0,4.63,196.86,4.63,4.63
21,2001-05-16 02:00:00,0.0,0.0,4.63,196.86,4.63,4.63
