Unnamed: 0,times,rainmean,rain,baseflow,area,dis,dis1,new_dis
0,2001-05-15 05:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
1,2001-05-15 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
2,2001-05-15 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
3,2001-05-15 08:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
4,2001-05-15 09:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
5,2001-05-15 10:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
6,2001-05-15 11:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
7,2001-05-15 12:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
8,2001-05-15 13:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
9,2001-05-15 14:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
10,2001-05-15 15:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
11,2001-05-15 16:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
12,2001-05-15 17:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
13,2001-05-15 18:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
14,2001-05-15 19:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
15,2001-05-15 20:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
16,2001-05-15 21:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
17,2001-05-15 22:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
18,2001-05-15 23:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
19,2001-05-16 00:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
20,2001-05-16 01:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
21,2001-05-16 02:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
22,2001-05-16 03:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
23,2001-05-16 04:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
24,2001-05-16 05:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
25,2001-05-16 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
26,2001-05-16 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
27,2001-05-16 08:00:00,0.0,0.0,4.63,196.86,4.63,4.74,0.0
28,2001-05-16 09:00:00,0.0,0.0,4.63,196.86,4.74,4.85,2.011581834806467
29,2001-05-16 10:00:00,0.0,0.0,4.63,196.86,4.85,4.81,4.023163669612918
1,2001-05-15 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
2,2001-05-15 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
3,2001-05-15 08:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
4,2001-05-15 09:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
5,2001-05-15 10:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
6,2001-05-15 11:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
7,2001-05-15 12:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
8,2001-05-15 13:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
9,2001-05-15 14:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
10,2001-05-15 15:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
11,2001-05-15 16:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
12,2001-05-15 17:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
13,2001-05-15 18:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
14,2001-05-15 19:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
15,2001-05-15 20:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
16,2001-05-15 21:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
17,2001-05-15 22:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
18,2001-05-15 23:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
19,2001-05-16 00:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
20,2001-05-16 01:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
21,2001-05-16 02:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
22,2001-05-16 03:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
23,2001-05-16 04:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
24,2001-05-16 05:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
25,2001-05-16 06:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
26,2001-05-16 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
27,2001-05-16 08:00:00,0.0,0.0,4.63,196.86,4.63,4.74,0.0
28,2001-05-16 09:00:00,0.0,0.0,4.63,196.86,4.74,4.85,2.011581834806467
29,2001-05-16 10:00:00,0.0,0.0,4.63,196.86,4.85,4.81,4.023163669612918
30,2001-05-16 11:00:00,0.0,0.0,4.63,196.86,4.81,4.78,3.2916793660469317
2,2001-05-15 07:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
3,2001-05-15 08:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
4,2001-05-15 09:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
5,2001-05-15 10:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
6,2001-05-15 11:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
7,2001-05-15 12:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
8,2001-05-15 13:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
9,2001-05-15 14:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
10,2001-05-15 15:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
11,2001-05-15 16:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
12,2001-05-15 17:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
13,2001-05-15 18:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
14,2001-05-15 19:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
15,2001-05-15 20:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
16,2001-05-15 21:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
17,2001-05-15 22:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
18,2001-05-15 23:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
19,2001-05-16 00:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
20,2001-05-16 01:00:00,0.0,0.0,4.63,196.86,4.63,4.63,0.0
