,times,rainmean,rain,baseflow,area,dis,dis1
0,2003-05-12 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
1,2003-05-12 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
2,2003-05-12 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
3,2003-05-12 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
4,2003-05-12 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
5,2003-05-12 08:00:00,0.0,0.0,3.78,196.86,3.78,3.78
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
1,2003-05-12 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
2,2003-05-12 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
3,2003-05-12 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
4,2003-05-12 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
5,2003-05-12 08:00:00,0.0,0.0,3.78,196.86,3.78,3.78
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
2,2003-05-12 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
3,2003-05-12 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
4,2003-05-12 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
5,2003-05-12 08:00:00,0.0,0.0,3.78,196.86,3.78,3.78
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
3,2003-05-12 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
4,2003-05-12 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
5,2003-05-12 08:00:00,0.0,0.0,3.78,196.86,3.78,3.78
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
4,2003-05-12 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
5,2003-05-12 08:00:00,0.0,0.0,3.78,196.86,3.78,3.78
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
5,2003-05-12 08:00:00,0.0,0.0,3.78,196.86,3.78,3.78
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
34,2003-05-13 13:00:00,0.0,0.0,3.78,196.86,3.96,3.96
6,2003-05-12 09:00:00,0.0,0.0,3.78,196.86,3.78,3.78
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
34,2003-05-13 13:00:00,0.0,0.0,3.78,196.86,3.96,3.96
35,2003-05-13 14:00:00,0.0,0.0,3.78,196.86,3.96,3.96
7,2003-05-12 10:00:00,0.0,0.0,3.78,196.86,3.78,3.78
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
34,2003-05-13 13:00:00,0.0,0.0,3.78,196.86,3.96,3.96
35,2003-05-13 14:00:00,0.0,0.0,3.78,196.86,3.96,3.96
36,2003-05-13 15:00:00,0.0,0.0,3.78,196.86,3.96,3.96
8,2003-05-12 11:00:00,0.0,0.0,3.78,196.86,3.78,3.78
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
34,2003-05-13 13:00:00,0.0,0.0,3.78,196.86,3.96,3.96
35,2003-05-13 14:00:00,0.0,0.0,3.78,196.86,3.96,3.96
36,2003-05-13 15:00:00,0.0,0.0,3.78,196.86,3.96,3.96
37,2003-05-13 16:00:00,0.0,0.0,3.78,196.86,3.96,3.96
9,2003-05-12 12:00:00,0.0,0.0,3.78,196.86,3.78,3.78
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
34,2003-05-13 13:00:00,0.0,0.0,3.78,196.86,3.96,3.96
35,2003-05-13 14:00:00,0.0,0.0,3.78,196.86,3.96,3.96
36,2003-05-13 15:00:00,0.0,0.0,3.78,196.86,3.96,3.96
37,2003-05-13 16:00:00,0.0,0.0,3.78,196.86,3.96,3.96
38,2003-05-13 17:00:00,0.03,0.03,3.78,196.86,3.96,3.96
10,2003-05-12 13:00:00,0.0,0.0,3.78,196.86,3.78,3.78
11,2003-05-12 14:00:00,0.0,0.0,3.78,196.86,3.78,3.78
12,2003-05-12 15:00:00,0.0,0.0,3.78,196.86,3.78,3.78
13,2003-05-12 16:00:00,0.0,0.0,3.78,196.86,3.78,3.78
14,2003-05-12 17:00:00,0.0,0.0,3.78,196.86,3.78,3.78
15,2003-05-12 18:00:00,0.0,0.0,3.78,196.86,3.78,3.78
16,2003-05-12 19:00:00,0.0,0.0,3.78,196.86,3.78,3.78
17,2003-05-12 20:00:00,0.0,0.0,3.78,196.86,3.78,3.78
18,2003-05-12 21:00:00,0.0,0.0,3.78,196.86,3.78,3.78
19,2003-05-12 22:00:00,0.0,0.0,3.78,196.86,3.78,3.78
20,2003-05-12 23:00:00,0.0,0.0,3.78,196.86,3.78,3.78
21,2003-05-13 00:00:00,0.0,0.0,3.78,196.86,3.78,3.78
22,2003-05-13 01:00:00,0.0,0.0,3.78,196.86,3.78,3.78
23,2003-05-13 02:00:00,0.0,0.0,3.78,196.86,3.78,3.78
24,2003-05-13 03:00:00,0.0,0.0,3.78,196.86,3.78,3.78
25,2003-05-13 04:00:00,0.0,0.0,3.78,196.86,3.78,3.78
26,2003-05-13 05:00:00,0.0,0.0,3.78,196.86,3.78,3.78
27,2003-05-13 06:00:00,0.0,0.0,3.78,196.86,3.78,3.78
28,2003-05-13 07:00:00,0.0,0.0,3.78,196.86,3.78,3.78
29,2003-05-13 08:00:00,0.0,0.0,3.78,196.86,3.78,3.84
30,2003-05-13 09:00:00,0.0,0.0,3.78,196.86,3.84,3.9
31,2003-05-13 10:00:00,0.53,0.53,3.78,196.86,3.9,3.96
32,2003-05-13 11:00:00,0.0,0.0,3.78,196.86,3.96,3.96
33,2003-05-13 12:00:00,0.0,0.0,3.78,196.86,3.96,3.96
34,2003-05-13 13:00:00,0.0,0.0,3.78,196.86,3.96,3.96
