time,rain_-29,rain_-28,rain_-27,rain_-26,rain_-25,rain_-24,rain_-23,rain_-22,rain_-21,rain_-20,rain_-19,rain_-18,rain_-17,rain_-16,rain_-15,rain_-14,rain_-13,rain_-12,rain_-11,rain_-10,rain_-9,rain_-8,rain_-7,rain_-6,rain_-5,rain_-4,rain_-3,rain_-2,rain_-1,rain_0,baseflow,area,dis,filename
2003/5/13 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,196.86,3.78,event5
2003/5/13 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,196.86,3.84,event5
2003/5/13 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,3.78,196.86,3.9,event5
2003/5/13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,3.78,196.86,3.96,event5
2003/5/13 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,3.78,196.86,3.96,event5
2003/5/13 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,3.78,196.86,3.96,event5
2003/5/13 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,3.78,196.86,3.96,event5
2003/5/13 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,3.78,196.86,3.96,event5
2003/5/13 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,3.78,196.86,3.96,event5
2003/5/13 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,3.78,196.86,3.96,event5
2003/5/13 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,3.78,196.86,3.96,event5
2003/5/13 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,3.78,196.86,3.96,event5
2003/5/13 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,3.78,196.86,3.92,event5
2003/5/13 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,3.78,196.86,3.87,event5
2003/5/13 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,3.78,196.86,3.82,event5
2003/5/13 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,3.78,196.86,3.78,event5
2003/5/14 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,3.78,196.86,3.96,event5
2003/5/14 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,3.78,196.86,3.78,event5
2003/5/14 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,3.78,196.86,3.78,event5
2003/5/14 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,0.51,3.78,196.86,3.78,event5
2003/5/14 04:00,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,0.51,0.14,3.78,196.86,3.78,event5
2003/5/14 05:00,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,0.51,0.14,0.57,3.78,196.86,3.87,event5
2003/5/14 06:00,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,0.51,0.14,0.57,0.88,3.78,196.86,3.96,event5
2003/5/14 07:00,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,0.51,0.14,0.57,0.88,15.36,3.78,196.86,4.05,event5
2003/5/14 08:00,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0.51,0.51,0.51,0.14,0.57,0.88,15.36,1.52,3.78,196.86,4.14,event5
